Qualification,Internship,Comm_Skill,Tech_Skill_Level,Certifications,Interview_Score,Resume_Score,Referral,Job_Result
BA(HR),No,1,0,1,4,7,Yes,Not Selected
BCA,No,1,5,4,9,6,No,Not Selected
BA(HR),No,3,0,4,9,7,Yes,Not Selected
MBA,No,6,0,5,5,8,No,Selected
B.Tech,Yes,10,3,3,10,6,No,Not Selected
BBA,No,3,0,1,4,3,Yes,Not Selected
BA(HR),No,8,5,3,7,2,No,Selected
MBA,No,10,2,1,6,7,Yes,Selected
BBA,Yes,2,4,3,4,1,No,Not Selected
B.Tech,Yes,9,2,4,10,3,Yes,Not Selected
BBA,No,3,0,4,2,4,No,Selected
MBA,Yes,5,2,0,1,1,Yes,Selected
MCA,No,10,5,2,4,5,Yes,Selected
MCA,Yes,8,5,5,4,10,No,Not Selected
BBA,Yes,2,0,3,1,3,No,Not Selected
BCA,Yes,6,3,5,6,2,Yes,Selected
BBA,Yes,5,2,0,4,3,No,Not Selected
BA(HR),No,10,3,2,1,8,No,Selected
BA(HR),No,9,3,3,1,6,No,Not Selected
MCA,No,5,1,1,1,7,Yes,Selected
BCA,Yes,2,0,2,8,6,Yes,Selected
MBA,No,5,4,4,10,6,No,Not Selected
BA(HR),No,4,5,0,8,3,No,Not Selected
MCA,No,7,5,2,2,8,Yes,Not Selected
B.Tech,Yes,6,0,2,7,7,No,Not Selected
MCA,Yes,2,4,4,8,7,Yes,Not Selected
BA(HR),Yes,5,5,3,8,6,No,Not Selected
BA(HR),No,7,0,1,10,5,No,Selected
MCA,No,7,5,4,7,10,No,Not Selected
MBA,No,5,3,1,5,8,Yes,Selected
BBA,Yes,9,2,3,1,5,Yes,Selected
BA(HR),Yes,4,2,2,9,9,Yes,Not Selected
MCA,No,3,5,1,7,9,Yes,Selected
MCA,Yes,4,1,0,2,1,No,Selected
BCA,Yes,5,4,0,6,6,No,Not Selected
BBA,Yes,6,4,4,2,7,Yes,Not Selected
B.Tech,Yes,3,4,3,1,3,No,Not Selected
MBA,No,2,3,4,7,7,No,Selected
B.Tech,Yes,4,4,4,2,7,Yes,Not Selected
BBA,Yes,5,2,5,2,2,No,Not Selected
BBA,Yes,4,3,4,5,7,No,Not Selected
BBA,Yes,3,0,5,5,1,Yes,Not Selected
B.Tech,No,8,4,0,7,5,No,Selected
BBA,No,10,4,0,1,9,No,Not Selected
MCA,Yes,4,0,4,8,7,No,Selected
B.Tech,Yes,2,4,0,3,7,Yes,Not Selected
BBA,Yes,2,0,3,4,2,Yes,Selected
MCA,Yes,1,3,5,9,8,No,Selected
BCA,Yes,4,2,5,4,3,No,Selected
BBA,Yes,10,0,4,10,8,No,Not Selected
B.Tech,No,9,1,0,5,3,Yes,Selected
BA(HR),Yes,7,0,1,7,10,Yes,Not Selected
BBA,No,10,4,5,4,7,Yes,Not Selected
BA(HR),No,7,3,4,1,2,No,Not Selected
MCA,Yes,7,5,4,9,4,No,Not Selected
BCA,No,8,3,3,4,6,No,Not Selected
MBA,No,1,5,2,9,9,No,Selected
BCA,No,10,0,2,6,5,No,Not Selected
BBA,No,10,2,5,1,9,Yes,Selected
BA(HR),No,8,1,3,3,5,No,Selected
BA(HR),No,4,3,3,2,10,No,Selected
B.Tech,Yes,4,4,3,9,8,No,Selected
BA(HR),No,4,5,5,1,1,Yes,Selected
B.Tech,No,6,4,2,9,7,No,Selected
MCA,No,7,2,3,9,4,Yes,Selected
MBA,Yes,6,5,0,8,5,Yes,Not Selected
BBA,No,1,3,4,8,6,Yes,Selected
B.Tech,Yes,8,0,4,1,5,Yes,Not Selected
MBA,No,10,4,1,8,1,Yes,Selected
BA(HR),Yes,7,2,1,10,9,No,Selected
BA(HR),Yes,6,3,5,3,2,No,Selected
MBA,No,6,3,5,7,9,Yes,Selected
BA(HR),No,5,3,4,1,10,Yes,Not Selected
MCA,Yes,6,3,0,1,2,Yes,Not Selected
MCA,No,9,5,2,10,9,No,Not Selected
MBA,Yes,10,3,2,5,6,No,Selected
B.Tech,Yes,9,4,5,5,9,Yes,Selected
B.Tech,Yes,10,2,0,8,6,No,Selected
MBA,Yes,8,5,5,7,6,No,Not Selected
B.Tech,Yes,10,3,2,8,2,Yes,Selected
B.Tech,No,9,1,5,6,8,Yes,Not Selected
MCA,Yes,10,1,3,6,3,No,Not Selected
B.Tech,Yes,8,2,5,2,7,No,Selected
BCA,No,8,0,4,6,5,No,Selected
BBA,Yes,1,0,5,5,3,Yes,Not Selected
BA(HR),No,10,5,4,3,1,Yes,Not Selected
BCA,No,5,5,0,6,8,Yes,Not Selected
B.Tech,No,4,5,2,8,3,No,Selected
MCA,Yes,2,0,1,9,2,No,Selected
MBA,Yes,8,1,1,1,1,Yes,Selected
B.Tech,Yes,3,0,2,3,4,No,Selected
MCA,No,4,4,1,3,8,Yes,Selected
BBA,Yes,7,3,5,8,3,No,Selected
B.Tech,No,10,5,0,1,1,Yes,Not Selected
MBA,Yes,9,1,0,5,4,No,Not Selected
MCA,No,2,2,2,3,9,No,Not Selected
MCA,Yes,3,2,1,2,1,Yes,Selected
MCA,Yes,4,3,5,8,2,Yes,Not Selected
BBA,Yes,10,1,0,3,9,Yes,Selected
B.Tech,No,1,0,0,7,2,Yes,Selected
BBA,No,7,0,3,1,3,Yes,Not Selected
BA(HR),Yes,2,4,3,6,7,No,Selected
BA(HR),Yes,5,4,0,3,3,Yes,Not Selected
B.Tech,No,1,0,2,8,9,Yes,Not Selected
BBA,No,3,2,4,6,6,Yes,Selected
MBA,No,2,5,4,2,3,Yes,Not Selected
MCA,Yes,1,2,5,6,9,Yes,Not Selected
MCA,No,7,4,0,7,1,No,Not Selected
B.Tech,Yes,5,3,0,5,10,Yes,Not Selected
BA(HR),No,1,0,0,3,3,Yes,Selected
BA(HR),Yes,6,4,2,4,1,Yes,Not Selected
MCA,No,5,4,3,4,2,No,Not Selected
B.Tech,No,3,5,0,6,8,No,Not Selected
BBA,No,7,0,0,10,7,Yes,Selected
BA(HR),No,10,5,1,1,2,Yes,Not Selected
BBA,No,9,0,2,4,2,No,Selected
BA(HR),Yes,9,5,5,10,9,No,Not Selected
BA(HR),No,9,2,0,4,6,No,Not Selected
BCA,No,2,3,1,10,5,Yes,Not Selected
BA(HR),No,3,3,4,1,10,Yes,Selected
MBA,Yes,7,0,5,9,6,No,Selected
B.Tech,No,5,1,0,4,9,Yes,Selected
B.Tech,Yes,2,4,0,7,7,No,Selected
BBA,No,3,4,1,3,10,No,Selected
BA(HR),No,10,0,2,10,10,No,Selected
MBA,Yes,6,5,0,3,9,Yes,Not Selected
BBA,No,7,1,4,8,4,No,Selected
BCA,Yes,9,2,0,8,2,No,Not Selected
BBA,Yes,1,5,4,1,8,Yes,Selected
BBA,No,7,5,5,10,4,No,Selected
BA(HR),Yes,8,0,5,2,9,Yes,Selected
BCA,No,3,0,3,8,4,No,Not Selected
BBA,No,4,4,3,1,8,Yes,Selected
MBA,Yes,10,0,4,8,9,No,Selected
MBA,Yes,6,0,2,8,9,No,Not Selected
B.Tech,Yes,10,0,0,2,10,No,Not Selected
BCA,Yes,7,4,0,4,4,No,Not Selected
BCA,No,4,2,3,6,1,No,Not Selected
B.Tech,No,8,2,4,9,3,Yes,Selected
BBA,Yes,5,0,0,8,9,Yes,Not Selected
BCA,No,1,4,0,8,4,No,Selected
MBA,No,4,2,2,7,5,No,Selected
MBA,No,3,5,1,9,7,No,Not Selected
BA(HR),No,9,2,3,2,5,Yes,Selected
BCA,Yes,8,2,3,3,4,Yes,Not Selected
BBA,Yes,1,4,1,10,2,No,Selected
B.Tech,No,6,5,0,8,2,Yes,Not Selected
B.Tech,Yes,9,4,2,6,4,No,Not Selected
BBA,Yes,7,0,2,10,10,No,Not Selected
MCA,Yes,4,3,3,9,10,No,Not Selected
BA(HR),No,1,2,2,10,9,Yes,Not Selected
B.Tech,No,2,3,5,4,8,No,Not Selected
BCA,No,5,4,1,8,3,No,Selected
BA(HR),Yes,5,4,0,10,9,No,Selected
BCA,No,8,4,5,3,5,Yes,Selected
MBA,No,6,3,1,3,3,Yes,Not Selected
BA(HR),Yes,8,4,4,8,5,Yes,Selected
B.Tech,No,2,0,3,5,10,No,Not Selected
BA(HR),No,3,4,2,3,4,Yes,Selected
BA(HR),Yes,6,1,4,10,8,No,Selected
BA(HR),Yes,10,3,2,1,5,Yes,Not Selected
MCA,Yes,3,1,5,3,10,No,Selected
BA(HR),No,6,4,0,9,8,Yes,Selected
BCA,No,6,0,0,5,9,No,Selected
MBA,No,2,2,0,10,4,Yes,Not Selected
BBA,Yes,7,5,2,2,7,Yes,Selected
BA(HR),Yes,2,5,4,7,2,Yes,Not Selected
B.Tech,No,6,4,0,2,6,No,Selected
BA(HR),No,1,0,4,4,8,Yes,Selected
B.Tech,Yes,3,3,2,7,7,Yes,Selected
BCA,Yes,2,1,5,4,7,Yes,Selected
B.Tech,Yes,7,1,4,7,8,Yes,Not Selected
BBA,Yes,4,1,5,7,7,No,Selected
MBA,No,8,3,2,1,5,Yes,Not Selected
B.Tech,Yes,6,5,2,6,7,No,Not Selected
B.Tech,No,10,0,3,9,10,No,Selected
MBA,No,4,3,2,2,3,No,Selected
BBA,No,5,1,2,3,5,No,Not Selected
BA(HR),Yes,9,4,1,10,7,Yes,Not Selected
B.Tech,Yes,7,2,0,5,9,No,Selected
MBA,Yes,10,3,3,9,2,No,Selected
BCA,Yes,9,3,3,4,4,No,Selected
MBA,No,7,0,3,1,7,No,Selected
BCA,Yes,1,0,1,4,1,Yes,Selected
BBA,Yes,8,3,5,6,2,Yes,Not Selected
BA(HR),No,4,1,2,5,9,No,Selected
MBA,Yes,3,2,0,1,10,No,Selected
MCA,No,7,0,4,4,7,No,Not Selected
B.Tech,No,3,1,5,6,10,Yes,Selected
BBA,No,8,4,2,10,7,Yes,Selected
MBA,No,6,0,1,10,6,Yes,Not Selected
B.Tech,No,5,1,2,4,3,Yes,Selected
MBA,No,4,1,2,9,10,Yes,Not Selected
BCA,No,8,2,1,5,3,No,Selected
MBA,No,8,2,3,8,2,Yes,Selected
MCA,Yes,1,4,3,9,6,Yes,Selected
MBA,Yes,9,1,0,10,4,No,Not Selected
MBA,Yes,5,5,0,5,5,Yes,Not Selected
MCA,Yes,4,1,3,6,3,Yes,Not Selected
BBA,No,6,2,5,1,6,Yes,Not Selected
MBA,Yes,6,5,4,7,3,No,Selected
MCA,No,2,0,2,4,8,Yes,Not Selected
B.Tech,Yes,8,0,4,2,9,No,Not Selected
BCA,Yes,7,3,2,5,4,No,Not Selected
BCA,Yes,1,2,3,3,9,Yes,Selected
MBA,No,5,3,0,6,7,Yes,Selected
BBA,Yes,6,5,5,8,3,Yes,Not Selected
BBA,No,4,2,0,7,7,Yes,Not Selected
B.Tech,No,2,4,4,3,1,No,Selected
MBA,Yes,4,1,0,8,3,Yes,Not Selected
BCA,Yes,1,4,3,2,6,No,Not Selected
BBA,Yes,7,5,5,10,4,No,Not Selected
MBA,No,2,2,4,9,7,No,Not Selected
BBA,Yes,2,5,5,4,3,No,Selected
MCA,No,9,1,2,1,1,No,Selected
BBA,No,5,0,0,8,9,Yes,Selected
BCA,Yes,2,0,5,7,6,No,Not Selected
BA(HR),Yes,9,5,1,5,8,No,Not Selected
B.Tech,No,9,3,0,10,3,Yes,Selected
B.Tech,No,1,2,2,5,8,Yes,Selected
BCA,No,3,2,5,7,2,No,Selected
BBA,Yes,4,0,4,5,4,No,Not Selected
MBA,No,7,4,2,8,3,Yes,Selected
BBA,Yes,10,1,1,6,10,No,Not Selected
BCA,No,4,4,5,5,1,Yes,Not Selected
B.Tech,No,2,4,3,9,7,Yes,Selected
BBA,Yes,7,5,0,2,10,No,Selected
B.Tech,No,6,0,4,1,2,Yes,Not Selected
MBA,Yes,3,0,3,8,4,No,Selected
B.Tech,Yes,6,0,5,3,9,No,Selected
B.Tech,No,6,5,5,7,6,No,Not Selected
BA(HR),Yes,5,3,2,10,8,Yes,Not Selected
BA(HR),Yes,4,4,5,8,2,No,Not Selected
MCA,No,10,5,4,6,7,Yes,Not Selected
BA(HR),Yes,1,2,3,10,6,No,Not Selected
B.Tech,Yes,10,1,4,9,9,No,Selected
BCA,Yes,6,3,1,7,7,Yes,Not Selected
B.Tech,No,2,2,1,10,1,No,Not Selected
BCA,Yes,3,4,0,5,8,No,Not Selected
BCA,No,8,0,0,8,10,Yes,Selected
BA(HR),No,10,4,1,2,3,Yes,Not Selected
BBA,Yes,6,5,5,7,2,Yes,Not Selected
MBA,Yes,3,1,4,4,3,No,Not Selected
BA(HR),Yes,7,5,1,9,6,Yes,Selected
BA(HR),No,4,3,0,1,3,Yes,Not Selected
BBA,Yes,9,3,1,7,10,No,Not Selected
MBA,Yes,5,1,5,6,5,Yes,Not Selected
B.Tech,Yes,3,2,1,8,6,No,Selected
MCA,Yes,2,2,4,5,8,No,Selected
MCA,Yes,2,3,3,1,7,Yes,Selected
B.Tech,No,3,3,5,1,8,No,Selected
BA(HR),No,2,0,0,9,3,Yes,Not Selected
MBA,Yes,4,2,4,10,4,Yes,Not Selected
BA(HR),Yes,2,1,1,6,6,Yes,Selected
BCA,Yes,10,2,1,10,7,Yes,Selected
BA(HR),Yes,9,0,3,5,9,No,Not Selected
BA(HR),No,2,5,0,1,1,No,Not Selected
B.Tech,Yes,9,3,0,6,8,Yes,Selected
B.Tech,No,6,3,2,6,8,Yes,Selected
B.Tech,No,1,0,0,3,6,No,Selected
MCA,Yes,4,1,3,8,4,Yes,Selected
BCA,No,1,3,2,1,3,No,Not Selected
B.Tech,No,6,4,2,1,3,Yes,Selected
MBA,No,4,3,1,6,6,No,Selected
MCA,No,3,4,1,10,8,No,Not Selected
BBA,Yes,3,0,0,1,7,No,Not Selected
MBA,Yes,9,0,2,6,1,Yes,Not Selected
MBA,No,6,3,1,1,6,Yes,Not Selected
B.Tech,Yes,9,2,3,6,7,Yes,Not Selected
BBA,Yes,5,4,1,3,7,Yes,Selected
BBA,Yes,2,1,5,8,9,Yes,Selected
MCA,Yes,8,3,5,6,10,No,Selected
BBA,Yes,5,1,1,1,5,No,Not Selected
BCA,No,2,3,2,5,1,No,Selected
B.Tech,Yes,4,2,2,8,2,No,Not Selected
BBA,Yes,9,2,4,3,4,No,Selected
MCA,Yes,4,2,5,6,5,No,Selected
BCA,Yes,4,5,3,5,9,No,Not Selected
BA(HR),No,2,2,2,6,1,Yes,Not Selected
BA(HR),No,6,0,0,10,3,No,Selected
BCA,No,2,0,5,1,5,Yes,Selected
MCA,No,7,5,3,7,3,No,Selected
BCA,Yes,3,4,3,9,4,No,Selected
B.Tech,No,3,1,2,2,3,Yes,Selected
B.Tech,Yes,5,3,3,10,4,No,Not Selected
BA(HR),Yes,3,3,2,5,1,Yes,Not Selected
BBA,Yes,2,5,1,10,8,No,Not Selected
MCA,Yes,10,0,5,4,4,Yes,Not Selected
BA(HR),Yes,9,3,4,6,7,No,Selected
BBA,No,2,0,1,6,2,Yes,Selected
BBA,No,2,4,5,2,2,Yes,Not Selected
B.Tech,No,8,1,2,2,6,No,Selected
MBA,No,9,4,5,4,2,No,Not Selected
MBA,Yes,7,5,2,1,6,Yes,Selected
BCA,No,3,2,1,9,2,No,Selected
B.Tech,Yes,9,2,0,7,4,Yes,Selected
BBA,No,3,2,0,7,7,No,Not Selected
MCA,Yes,5,4,5,3,8,Yes,Not Selected
MBA,Yes,9,3,0,3,3,No,Not Selected
BBA,No,3,1,2,1,9,Yes,Not Selected
MBA,Yes,7,2,3,3,2,No,Selected
MBA,Yes,1,5,2,3,8,Yes,Selected
MBA,No,4,5,3,4,8,Yes,Selected
MCA,Yes,4,2,1,4,4,No,Selected
B.Tech,No,7,2,4,3,1,No,Not Selected
MCA,No,8,1,3,10,1,Yes,Selected
BA(HR),No,1,2,0,8,2,Yes,Selected
BBA,Yes,5,1,2,8,9,Yes,Selected
B.Tech,Yes,7,5,1,1,2,Yes,Not Selected
B.Tech,Yes,4,2,0,7,2,No,Not Selected
B.Tech,No,4,4,1,2,6,Yes,Not Selected
B.Tech,Yes,4,4,4,1,7,Yes,Selected
MCA,No,6,5,2,3,7,Yes,Not Selected
B.Tech,No,7,1,5,4,9,No,Selected
BCA,Yes,2,4,2,6,6,Yes,Selected
BBA,No,5,1,4,10,8,No,Selected
B.Tech,Yes,4,4,2,5,6,No,Not Selected
BBA,Yes,3,4,5,4,2,No,Not Selected
BCA,Yes,7,1,3,8,1,No,Selected
BCA,Yes,6,3,1,4,5,No,Selected
BBA,Yes,7,4,5,10,9,No,Not Selected
MBA,No,5,2,0,2,8,No,Not Selected
BA(HR),No,6,5,4,3,4,Yes,Not Selected
MBA,No,5,3,3,6,5,Yes,Selected
MBA,Yes,7,1,0,8,5,No,Selected
MCA,Yes,2,3,0,8,6,Yes,Selected
MBA,Yes,5,0,4,9,3,Yes,Not Selected
B.Tech,No,6,0,3,7,5,No,Not Selected
MCA,Yes,6,4,0,2,2,Yes,Not Selected
MCA,No,5,4,0,8,10,No,Selected
BCA,No,10,2,3,7,1,Yes,Selected
MBA,Yes,7,5,2,8,1,No,Not Selected
BCA,Yes,10,3,0,3,10,No,Selected
BBA,No,8,0,1,7,7,Yes,Not Selected
BA(HR),Yes,7,4,3,10,2,Yes,Selected
MCA,No,5,5,0,9,4,No,Not Selected
BBA,Yes,1,3,4,3,5,No,Selected
BBA,Yes,5,4,5,10,7,No,Selected
B.Tech,No,10,4,1,6,2,Yes,Not Selected
BA(HR),Yes,2,0,5,2,6,Yes,Not Selected
BBA,No,5,0,5,2,1,Yes,Not Selected
BBA,Yes,5,4,0,5,7,Yes,Not Selected
BA(HR),No,2,1,1,5,9,No,Not Selected
BA(HR),No,5,4,1,7,5,No,Selected
BBA,Yes,4,5,2,2,5,No,Not Selected
BA(HR),No,1,4,5,7,4,No,Not Selected
BBA,Yes,3,2,1,5,3,Yes,Not Selected
BBA,Yes,1,2,2,6,9,No,Selected
B.Tech,Yes,5,2,3,8,5,No,Not Selected
MBA,No,4,1,2,10,8,Yes,Not Selected
BBA,No,7,1,4,4,9,Yes,Not Selected
BCA,Yes,5,4,0,7,5,No,Selected
MCA,Yes,10,2,3,6,10,Yes,Selected
MBA,No,4,1,3,10,9,No,Not Selected
MBA,Yes,2,0,4,2,2,Yes,Selected
MBA,Yes,4,4,2,8,9,Yes,Not Selected
B.Tech,No,2,5,0,10,4,No,Selected
BBA,Yes,8,3,2,9,6,Yes,Not Selected
B.Tech,No,3,4,1,5,6,No,Selected
BBA,Yes,9,3,2,10,6,Yes,Not Selected
B.Tech,No,4,2,3,4,2,Yes,Not Selected
B.Tech,Yes,6,3,0,6,7,Yes,Selected
MCA,Yes,10,2,2,8,6,Yes,Not Selected
BCA,No,5,0,0,3,1,Yes,Not Selected
B.Tech,Yes,10,3,0,10,2,No,Not Selected
MCA,No,1,4,1,1,7,Yes,Not Selected
BA(HR),Yes,9,2,1,4,1,No,Selected
BCA,No,1,4,3,4,1,Yes,Not Selected
B.Tech,No,8,1,4,1,1,No,Selected
MBA,No,9,2,0,9,8,Yes,Selected
BA(HR),No,9,3,4,3,4,No,Selected
BA(HR),Yes,1,2,3,5,4,No,Selected
MCA,Yes,2,4,0,6,2,Yes,Not Selected
BA(HR),No,1,0,0,8,1,Yes,Not Selected
BCA,No,10,2,5,6,10,Yes,Selected
B.Tech,No,2,3,4,3,9,No,Not Selected
B.Tech,Yes,10,1,2,6,7,No,Selected
MBA,Yes,8,5,1,1,4,Yes,Not Selected
MCA,Yes,5,0,2,4,6,Yes,Not Selected
MBA,Yes,7,1,4,6,2,No,Not Selected
BA(HR),No,2,2,1,7,7,No,Selected
MBA,No,8,4,2,10,2,Yes,Selected
BCA,No,6,4,5,3,10,No,Not Selected
B.Tech,Yes,8,3,1,9,8,Yes,Selected
BA(HR),Yes,1,4,0,7,8,Yes,Selected
MBA,Yes,1,0,2,1,1,Yes,Not Selected
MCA,No,7,4,1,2,8,No,Selected
BCA,No,8,3,5,1,2,No,Not Selected
BCA,Yes,3,5,1,9,6,No,Not Selected
MBA,No,5,2,1,9,1,No,Not Selected
B.Tech,Yes,1,2,5,7,5,Yes,Selected
MBA,Yes,7,4,2,10,7,No,Not Selected
BA(HR),No,5,1,3,3,10,Yes,Not Selected
MBA,Yes,8,2,2,5,1,Yes,Selected
BCA,No,8,5,4,4,2,Yes,Selected
MBA,Yes,9,4,5,7,7,No,Selected
B.Tech,No,7,3,2,9,6,Yes,Selected
MCA,No,1,5,1,2,3,Yes,Not Selected
BBA,No,3,4,5,8,10,No,Selected
MBA,Yes,8,5,0,9,2,Yes,Selected
B.Tech,Yes,3,2,2,10,10,No,Selected
B.Tech,No,8,3,5,10,4,No,Selected
MCA,No,1,4,2,9,3,No,Not Selected
BCA,Yes,5,0,5,10,7,Yes,Selected
B.Tech,Yes,4,3,1,7,8,No,Not Selected
B.Tech,Yes,5,0,0,9,2,No,Selected
B.Tech,No,8,5,0,9,10,No,Not Selected
B.Tech,Yes,10,1,4,3,7,No,Not Selected
BA(HR),Yes,4,3,5,4,8,Yes,Selected
BA(HR),No,4,5,2,2,6,No,Not Selected
BCA,Yes,3,0,0,10,6,Yes,Selected
MBA,Yes,7,2,0,3,10,No,Not Selected
B.Tech,Yes,3,2,3,5,1,Yes,Not Selected
MCA,No,3,1,3,5,4,No,Not Selected
MBA,No,10,3,0,6,1,Yes,Selected
MCA,No,5,3,5,7,4,No,Not Selected
MBA,No,5,3,4,7,2,Yes,Selected
BCA,No,6,5,0,1,5,Yes,Not Selected
B.Tech,No,8,1,1,2,10,Yes,Not Selected
B.Tech,No,10,3,2,9,9,No,Not Selected
BBA,Yes,6,5,4,10,10,Yes,Not Selected
MCA,Yes,1,2,1,2,3,Yes,Not Selected
MBA,No,8,0,4,6,8,Yes,Not Selected
MBA,Yes,8,5,1,1,3,Yes,Selected
BA(HR),Yes,9,2,2,3,6,No,Selected
BBA,No,9,2,2,2,4,Yes,Selected
BA(HR),Yes,2,0,3,3,8,Yes,Not Selected
BA(HR),Yes,2,2,5,5,6,Yes,Selected
BA(HR),Yes,3,1,1,10,8,No,Not Selected
MCA,Yes,1,0,3,6,1,Yes,Selected
MCA,Yes,4,2,1,9,6,Yes,Selected
BCA,No,4,4,3,10,1,Yes,Not Selected
BCA,No,9,5,2,4,1,Yes,Not Selected
BA(HR),No,9,2,4,7,8,No,Selected
BBA,Yes,9,1,3,6,7,Yes,Selected
MBA,No,10,3,1,2,3,Yes,Selected
MCA,Yes,7,2,1,10,6,No,Selected
BBA,Yes,2,3,5,8,9,No,Not Selected
B.Tech,Yes,10,4,2,7,7,No,Selected
MCA,Yes,5,2,1,7,3,Yes,Not Selected
MCA,No,4,0,0,8,6,No,Not Selected
BCA,No,8,3,4,1,4,Yes,Selected
MBA,Yes,2,4,3,1,3,No,Not Selected
MBA,No,6,0,5,8,9,Yes,Selected
B.Tech,Yes,5,0,4,4,10,No,Not Selected
B.Tech,No,2,0,2,5,2,Yes,Not Selected
MCA,No,10,0,5,8,1,No,Selected
BA(HR),Yes,1,2,3,5,2,Yes,Not Selected
BCA,No,8,5,3,10,7,Yes,Not Selected
BCA,Yes,2,2,0,4,10,Yes,Selected
MCA,No,7,2,2,6,1,Yes,Not Selected
BBA,Yes,9,4,5,5,6,Yes,Not Selected
BA(HR),Yes,9,4,5,7,7,Yes,Selected
MCA,No,8,5,1,10,9,Yes,Selected
BA(HR),No,10,4,0,7,8,Yes,Not Selected
BA(HR),Yes,9,1,0,4,6,No,Not Selected
BA(HR),No,2,5,5,5,3,Yes,Not Selected
MCA,No,6,4,5,3,8,Yes,Selected
BCA,Yes,4,5,4,4,7,No,Not Selected
BCA,Yes,4,2,4,4,3,Yes,Not Selected
BA(HR),No,5,2,4,3,9,No,Not Selected
BBA,Yes,3,5,0,10,2,Yes,Not Selected
MBA,Yes,1,1,1,5,3,No,Not Selected
MCA,Yes,8,1,3,5,2,No,Not Selected
MBA,No,5,5,4,7,1,Yes,Selected
BBA,No,3,4,1,4,4,No,Selected
MCA,Yes,10,3,2,4,5,Yes,Not Selected
BA(HR),No,7,1,4,9,6,Yes,Not Selected
BCA,Yes,7,0,3,6,5,Yes,Selected
MBA,No,1,2,2,4,1,Yes,Selected
B.Tech,Yes,9,5,2,2,3,No,Selected
B.Tech,Yes,2,0,3,6,1,Yes,Not Selected
BBA,No,5,5,4,2,5,No,Not Selected
BA(HR),Yes,5,2,0,5,5,No,Not Selected
MBA,No,8,2,3,6,6,Yes,Not Selected
BA(HR),No,8,1,3,4,8,Yes,Selected
MBA,Yes,7,1,3,3,10,Yes,Selected
BBA,Yes,7,0,2,7,1,Yes,Selected
BBA,No,6,5,1,2,4,No,Selected
B.Tech,Yes,6,2,0,6,10,Yes,Not Selected
BA(HR),Yes,9,0,4,4,1,No,Not Selected
MCA,Yes,6,3,4,6,9,Yes,Selected
B.Tech,Yes,2,0,1,4,7,Yes,Selected
BA(HR),Yes,2,4,3,4,7,Yes,Selected
B.Tech,No,5,0,0,4,5,Yes,Selected
MCA,No,4,4,4,9,7,No,Selected
BCA,Yes,2,4,5,7,2,No,Not Selected
BCA,Yes,3,4,4,3,4,Yes,Not Selected
BCA,Yes,7,3,3,3,7,No,Selected
BCA,No,8,0,5,6,3,No,Selected
MBA,Yes,6,0,1,6,2,Yes,Selected
BCA,No,5,3,0,4,10,Yes,Not Selected
MCA,No,1,2,1,9,2,No,Not Selected
BBA,No,8,1,1,4,1,No,Not Selected
BBA,Yes,3,0,0,9,5,No,Selected
MBA,No,6,1,0,4,6,No,Not Selected
BCA,Yes,3,5,4,2,6,Yes,Selected
BCA,No,7,5,4,2,9,Yes,Not Selected
BCA,Yes,7,3,0,5,4,No,Not Selected
B.Tech,No,9,5,5,4,1,Yes,Not Selected
BA(HR),Yes,5,5,2,7,6,No,Selected
B.Tech,No,8,2,4,5,5,No,Selected
BA(HR),Yes,10,2,2,6,10,Yes,Not Selected
BCA,Yes,10,2,5,10,6,No,Selected
BCA,Yes,8,5,0,4,3,No,Selected
B.Tech,Yes,1,3,5,2,2,Yes,Selected
B.Tech,No,5,4,4,10,6,Yes,Selected
BA(HR),No,3,4,1,9,1,No,Selected
BBA,Yes,1,1,0,10,7,No,Selected
BA(HR),No,4,4,3,7,7,Yes,Selected
B.Tech,Yes,8,4,2,4,10,No,Not Selected
MCA,Yes,3,2,5,3,7,No,Selected
B.Tech,No,10,2,0,10,10,Yes,Selected
MCA,Yes,2,5,5,3,1,Yes,Not Selected
MBA,Yes,9,1,0,9,4,Yes,Not Selected
B.Tech,No,10,0,4,5,7,Yes,Not Selected
MBA,Yes,5,1,4,3,9,Yes,Not Selected
BBA,Yes,7,1,4,5,5,Yes,Selected
BA(HR),Yes,2,3,5,2,2,No,Not Selected
MCA,Yes,9,5,3,4,7,No,Not Selected
BA(HR),No,9,3,4,10,10,Yes,Selected
MBA,No,4,1,0,2,1,Yes,Selected
MCA,No,4,1,4,2,7,No,Selected
BA(HR),Yes,6,1,1,8,6,No,Not Selected
B.Tech,Yes,10,4,4,1,7,No,Selected
BCA,No,10,3,5,7,10,Yes,Not Selected
MBA,Yes,10,1,3,5,3,Yes,Selected
BA(HR),Yes,6,2,1,8,3,No,Selected
MBA,Yes,1,5,5,1,7,Yes,Not Selected
MBA,Yes,9,5,5,7,2,Yes,Selected
MCA,No,2,2,5,5,1,Yes,Selected
MCA,No,5,5,0,4,9,No,Selected
BCA,No,9,4,5,7,9,No,Selected
B.Tech,Yes,4,4,0,10,7,Yes,Selected
MBA,No,3,0,5,2,7,Yes,Not Selected
BA(HR),No,7,0,2,1,3,Yes,Not Selected
BBA,Yes,6,0,1,1,10,Yes,Selected
MBA,Yes,8,5,2,1,2,Yes,Not Selected
MBA,No,3,4,5,5,7,No,Not Selected
